prn,elv,azi,gps_time,snr,ant
3.0,8.674963498146823,219.0,1408324278.0,39.0,0.0
3.0,8.60560419891394,219.0,1408324288.0,40.0,0.0
3.0,8.536262470277116,219.0,1408324298.0,40.0,0.0
3.0,8.46693843459509,219.0,1408324308.0,37.0,0.0
3.0,8.397632214226583,219.0,1408324318.0,35.0,0.0
3.0,8.328343931530327,219.0,1408324328.0,39.0,0.0
3.0,8.259073708865055,219.0,1408324338.0,43.0,0.0
3.0,8.189821668589493,219.0,1408324348.0,43.0,0.0
3.0,8.120587933062371,219.0,1408324358.0,43.0,0.0
3.0,8.051372624642415,219.0,1408324368.0,40.0,0.0
3.0,7.982175865688361,219.0,1408324378.0,34.0,0.0
3.0,7.912997778558935,219.0,1408324388.0,30.0,0.0
3.0,7.843838485612868,219.0,1408324398.0,39.0,0.0
3.0,7.774698109208886,219.0,1408324408.0,42.0,0.0
3.0,7.7055767717057195,219.0,1408324418.0,43.0,0.0
3.0,7.636474595462102,219.0,1408324428.0,43.0,0.0
3.0,7.567391702836757,219.0,1408324438.0,40.0,0.0
3.0,7.498328216188416,219.0,1408324448.0,34.0,0.0
3.0,7.42928425787581,219.0,1408324458.0,32.0,0.0
3.0,7.360259950257665,219.0,1408324468.0,40.0,0.0
3.0,7.291255415692715,219.0,1408324478.0,41.0,0.0
3.0,7.222270776539686,219.0,1408324488.0,43.0,0.0
3.0,7.15330615515731,219.0,1408324498.0,42.0,0.0
3.0,7.084361673904312,219.0,1408324508.0,40.0,0.0
3.0,7.015437455139426,219.0,1408324518.0,34.0,0.0
3.0,6.946533621221379,219.0,1408324528.0,36.0,0.0
3.0,6.877650294508901,219.0,1408324538.0,39.0,0.0
3.0,6.80878759736072,219.0,1408324548.0,40.0,0.0
3.0,6.739945652135567,219.0,1408324558.0,39.0,0.0
3.0,6.671124581192172,219.0,1408324568.0,37.0,0.0
3.0,6.602324506889264,219.0,1408324578.0,33.0,0.0
3.0,6.5335455515855685,219.0,1408324588.0,35.0,0.0
3.0,6.464787837639821,219.0,1408324598.0,39.0,0.0
3.0,6.396051487410747,219.0,1408324608.0,41.0,0.0
3.0,6.327336623257079,219.0,1408324618.0,42.0,0.0
3.0,6.258643367537541,219.0,1408324628.0,41.0,0.0
3.0,6.189971842610868,219.0,1408324638.0,38.0,0.0
3.0,6.121322170835786,219.0,1408324648.0,31.0,0.0
3.0,6.052694474571025,219.0,1408324658.0,30.0,0.0
3.0,5.984088876175316,219.0,1408324668.0,39.0,0.0
3.0,5.915505498007386,219.0,1408324678.0,43.0,0.0
3.0,5.8469444624259665,219.0,1408324688.0,43.0,0.0
3.0,5.7784058917897845,219.0,1408324698.0,42.0,0.0
3.0,5.709889908457571,219.0,1408324708.0,39.0,0.0
3.0,5.641396634788059,219.0,1408324718.0,35.0,0.0
3.0,5.5729261931399705,219.0,1408324728.0,35.0,0.0
3.0,5.504478705872041,219.0,1408324738.0,38.0,0.0
3.0,5.436054295342994,219.0,1408324748.0,39.0,0.0
3.0,5.3676530839115655,218.0,1408324758.0,42.0,0.0
3.0,5.29927519393648,218.0,1408324768.0,40.0,0.0
3.0,5.2309207477764685,218.0,1408324778.0,34.0,0.0
3.0,5.162589867790259,218.0,1408324788.0,33.0,0.0
3.0,5.094282676336585,218.0,1408324798.0,39.0,0.0
3.0,5.025999295774171,218.0,1408324808.0,42.0,0.0
