aid,prn,t,rh,tanededt,minelv,maxelv,azi,dt,ahgt,sp,ptn,clr,pr,ms,vs,af,df
0,26,1408333989,14.995,-1001.441,5.507,7.765,86.000,340,0.185,1.593,1.904,1.222,1.149,5.646,5.102,33.717,0.030
0,26,1408364096,9.197,1162.996,5.054,10.437,350.708,880,0.185,1.758,1.966,1.701,1.071,5.089,5.316,38.867,0.001
0,26,1408366257,1.015,3854.766,12.345,24.966,342.955,2400,0.185,2.183,2.809,2.088,1.313,13.488,17.943,1321.129,-0.117
0,26,1408375413,7.277,-2967.521,5.057,24.991,282.376,3710,0.185,16.486,4.630,4.053,1.168,82.654,879.880,17577.707,0.494
0,26,1408404098,11.917,2145.330,5.000,24.868,175.434,2800,0.185,13.957,4.770,4.150,1.037,75.388,579.208,6529.599,-2.583
0,27,1408328841,11.033,2142.345,5.011,24.962,154.554,2800,0.185,7.700,3.472,2.763,1.021,50.457,311.939,6139.945,0.383
0,27,1408342774,0.876,-2266.493,5.095,24.964,66.497,2910,0.185,1.451,7.732,6.381,2.561,6.175,8.081,2565.712,0.128
0,27,1408375853,0.941,2530.496,5.246,24.947,331.927,3090,0.185,2.640,5.043,4.059,1.039,12.539,16.949,2797.161,0.270
0,27,1408387143,9.546,-2538.101,5.101,24.980,258.327,3230,0.185,29.866,5.425,4.933,1.734,101.876,2089.974,18502.526,-3.239
0,28,1408324613,3.219,-2157.100,5.063,24.991,104.191,2810,0.185,1.237,4.168,4.052,1.249,5.102,6.003,1114.670,0.024
0,28,1408356428,1.544,2962.444,5.005,24.947,82.597,3700,0.185,1.460,2.832,2.312,1.188,6.995,9.462,775.172,0.324
0,28,1408365838,6.794,-2981.952,5.038,24.978,302.940,3710,0.185,10.924,5.113,4.637,1.316,49.382,354.442,12578.309,-1.472
0,28,1408395053,10.403,2105.996,5.010,24.868,197.214,2750,0.185,25.020,5.894,5.120,1.683,108.892,1351.892,12340.937,-3.048
0,29,1408329276,0.744,-2860.141,9.331,24.978,21.298,2590,0.185,1.516,3.341,2.550,1.456,7.374,6.982,700.727,0.036
0,29,1408362103,7.328,2200.493,5.002,24.965,285.795,2870,0.185,19.103,5.393,4.417,1.193,91.527,921.723,15154.401,0.390
0,29,1408376723,11.106,-2140.819,5.120,24.979,196.291,2770,0.185,30.992,7.236,6.164,1.215,116.159,1552.856,14474.256,-3.784
